content_hash,kept_source_file,duplicate_source_file,reason
d2404cce867c57efe9973a138502011f354d88ba8822fda6362fa671bafb7972,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Cash-Payment.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Cash-Payment__copy2.pdf,Same file hash.
6e1229da62a32828faedc09ffb0f95528268d43857ed9455b89d3480c4894489,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Health Security.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Health Security__copy2.pdf,Same file hash.
727ac0803637e576e2884892bc9570ef874de975a9adba1d92c0dd73edb3b9cd,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_April_2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_April_2025__copy2.pdf,Same file hash.
78bfc6fe476b463ff42ae967ac10968d8ea1f87a8737ee050061e7954929a8ad,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Juli_2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Juli_2024__copy2.pdf,Same file hash.
6e40902a24b4afb1fe2316c0790400f86a8a1be6516a389aabc055fd39199d50,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Juli_2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Juli_2025__copy3.pdf,Same file hash.
e4ea04801b9ab3a0b9c75afa34108504f412ff54643d441796bdf80350ca2765,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Juli_2025__copy2.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Juli_2025__copy4.pdf,Same file hash.
fe8ee38c2ed23c123908b39408d24d1d054398d91e8cf01691c2e18d7467f30b,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Juni_2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Juni_2025__copy2.pdf,Same file hash.
f992d0424b852be614843807c298539d290058c35011392b571f1b57c4d46bb7,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Mai_2024-1.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Mai_2024-1__copy2.pdf,Same file hash.
1d75ded575dc63bf8914fbb7d8c79de9844ed799d9e2015e6fb06724f2864c62,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Mai_2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Mai_2024__copy2.pdf,Same file hash.
6393fc52907a60bfb1458dd81a22c84d159b92011bdd72afaee1beff771ae5ea,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_März_2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_März_2025__copy2.pdf,Same file hash.
6393fc52907a60bfb1458dd81a22c84d159b92011bdd72afaee1beff771ae5ea,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_März_2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_März_2025__copy3.pdf,Same file hash.
4d63d06c5ee38fddcfd3a2c0e8f6bab330c8b388f3acc2f10f386d8d37841315,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_November_2024-1.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_November_2024-1__copy2.pdf,Same file hash.
2d951c0146b951807ef22a844bb26777778946cd98fdb7ed8b1b63767830d31e,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_November_2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_November_2024__copy2.pdf,Same file hash.
7f8f8d0f28b019415587c54eea3eddd56c8c57a66e9fa59ec925620f858b9c07,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Oktober_2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Lohnauswertungen_Oktober_2024__copy2.pdf,Same file hash.
fbe234f3246ce98a82869f895c555c19a4d330638db0ad58f48451bf0719e557,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Pay Roll 12.2023.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Pay Roll 12.2023__copy2.pdf,Same file hash.
0169b0b929e40aa231123c81ff68ddd0d3c1f40c0a8974c9b5f4079bbde23169,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Salaries.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Salaries__copy2.pdf,Same file hash.
5142dec5ab57f6908fddee2b00ee46d0b5c154b64c2772affce21be091b4db64,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Seizures.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Seizures__copy2.pdf,Same file hash.
90e95ca5b389bc5917e40b3cd62dadfcd9793bd6bab3624720f53d1804a52ebe,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/working hours 04.2025.xlsx,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/working hours 04.2025__copy2.xlsx,Same file hash.
